particle_type,momentum,photon_hits,is_pi,is_K,is_electron,is_muon,is_proton
pi,46.4053515569565,9,1.0,0.0,0.0,0.0,0.0
pi,87.33337059475484,12,1.0,0.0,0.0,0.0,0.0
pi,18.59227067910331,18,1.0,0.0,0.0,0.0,0.0
pi,33.19524683383459,13,1.0,0.0,0.0,0.0,0.0
pi,67.8059309385364,12,1.0,0.0,0.0,0.0,0.0
pi,59.99687804823206,14,1.0,0.0,0.0,0.0,0.0
pi,97.19262832001351,19,1.0,0.0,0.0,0.0,0.0
pi,20.416191544685415,15,1.0,0.0,0.0,0.0,0.0
pi,23.28710015856292,15,1.0,0.0,0.0,0.0,0.0
pi,19.735605733581483,15,1.0,0.0,0.0,0.0,0.0
pi,44.191654164515526,10,1.0,0.0,0.0,0.0,0.0
pi,73.51629171274558,14,1.0,0.0,0.0,0.0,0.0
pi,82.67750002537973,9,1.0,0.0,0.0,0.0,0.0
pi,29.71304043467282,6,1.0,0.0,0.0,0.0,0.0
pi,85.73338536834069,11,1.0,0.0,0.0,0.0,0.0
pi,86.10078431629586,22,1.0,0.0,0.0,0.0,0.0
pi,91.09670917274941,18,1.0,0.0,0.0,0.0,0.0
pi,18.00744706492204,13,1.0,0.0,0.0,0.0,0.0
pi,67.96593511490808,9,1.0,0.0,0.0,0.0,0.0
pi,19.932239237431236,18,1.0,0.0,0.0,0.0,0.0
pi,31.848857704732648,17,1.0,0.0,0.0,0.0,0.0
pi,10.047670692140922,13,1.0,0.0,0.0,0.0,0.0
pi,91.6125464192675,20,1.0,0.0,0.0,0.0,0.0
pi,53.16158442701204,8,1.0,0.0,0.0,0.0,0.0
pi,33.29620150224293,16,1.0,0.0,0.0,0.0,0.0
pi,9.620832251088245,14,1.0,0.0,0.0,0.0,0.0
pi,67.30395375520823,11,1.0,0.0,0.0,0.0,0.0
pi,12.54734623924359,19,1.0,0.0,0.0,0.0,0.0
pi,87.65876898237273,20,1.0,0.0,0.0,0.0,0.0
pi,74.34121339046217,11,1.0,0.0,0.0,0.0,0.0
pi,73.77909835568377,14,1.0,0.0,0.0,0.0,0.0
pi,63.761794020611624,15,1.0,0.0,0.0,0.0,0.0
pi,78.9464278571078,12,1.0,0.0,0.0,0.0,0.0
pi,3.225285086336696,0,1.0,0.0,0.0,0.0,0.0
pi,97.42705534480208,14,1.0,0.0,0.0,0.0,0.0
pi,72.42951872046713,18,1.0,0.0,0.0,0.0,0.0
pi,27.884441782211976,7,1.0,0.0,0.0,0.0,0.0
pi,24.315920502269268,15,1.0,0.0,0.0,0.0,0.0
pi,94.9860709909339,16,1.0,0.0,0.0,0.0,0.0
pi,99.07023925196933,13,1.0,0.0,0.0,0.0,0.0
pi,0.7989214677689572,0,1.0,0.0,0.0,0.0,0.0
